Open,High,Low,Close,Volume
8.864670639434008,9.12738854265064,8.839885968507788,9.089385032653809,5520759
9.104257472627985,9.343843092592206,9.043122290552907,9.319058418273926,6092137
9.393411199607002,9.479331038676714,9.33558008708083,9.446285247802734,5535745
9.378542578914631,9.490900125230205,9.1984404251625,9.413241386413574,5894827
9.46115722000512,9.555338847209265,9.408283163809156,9.509074211120605,3109357
9.649519732557245,9.894063039077112,9.61647459155495,9.666043281555176,5206923
9.70569958382627,9.735441321030505,9.347147034732496,9.383498191833496,3525775
9.37689076405777,9.5636023494898,9.37689076405777,9.548731803894043,2353196
9.598299587779008,9.963460922241211,9.593342522614758,9.963460922241211,5704560
9.955199135356132,10.05599083658456,9.892411600342621,9.917196273803711,4217935
9.946936929361819,10.031205070886577,9.837884117074625,9.935370445251465,2220310
9.930412760768943,9.973373332451734,9.695784254442344,9.86762523651123,2406326
9.834581543094298,9.887455605847592,9.593343550240986,9.656131744384766,3607867
9.704047304815045,9.75361664976639,9.47107112261124,9.512378692626953,5331336
9.479334335957045,9.578473700056918,9.236443970259112,9.472724914550781,4484933
9.393413085624937,9.452895912539798,9.12408507390877,9.168697357177734,4048229
9.105908552587856,9.3041865859037,9.039816309703392,9.284358978271484,4258711
9.36862812692336,9.43967678511014,9.145565412687537,9.216614723205566,4627903
9.408282416426086,9.556990443039828,9.172000885009766,9.172000885009766,4486328
9.219919323335052,9.449590802733455,9.130694108238867,9.304186820983887,3820547
9.254618034386143,9.624737105141312,9.172002234446541,9.590038299560547,4032167
9.62969483812286,9.631347845819382,9.388457478124753,9.568559646606445,3361257
9.654476687153526,9.814751196618495,9.58507973914721,9.628040313720703,3880482
9.661086911874152,9.73709262827571,9.205047394815287,9.254616737365723,4488683
9.218267034425734,9.224876454627957,8.823363309980403,8.846495628356934,8398517
8.902675659985436,8.932417400609543,8.51107661871078,8.742401123046875,5064371
8.83988634994594,8.99189909183021,8.742400016918388,8.874585151672363,4280453
8.995203585988838,9.095994626509151,8.879541351229086,8.924154281616211,3734183
9.021640345342398,9.028249112477614,8.44167813845244,8.593690872192383,7270925
8.851452367208656,8.85806178716723,8.23100839838138,8.340887069702148,13493353
8.387152063069925,8.524294260746684,8.362366739094124,8.444982528686523,3246432
8.542469883287605,8.613519849197345,8.311146036126747,8.550731658935547,4445133
8.691177911054401,8.811797216859649,8.605257407955369,8.734138488769531,4442401
8.753965860166595,8.823362811374587,8.448287368731334,8.633346557617188,5541358
8.501162893273264,8.775447340300412,8.492901117058192,8.699440956115723,3563911
8.768834220903447,8.785357114033417,8.59699391442618,8.613516807556152,3070261
8.631695886811128,8.782056291901236,8.368977288195179,8.405327796936035,4658343
